epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,373,1066.1662198391416,148,2888,1,0,56892,2.57704e-08,0,0,3.6287080000000005,3.628635,13779.286150301697
1,train,250000,1810,1089.8342541436443,88,3472,0.7506259975,250000,339309,1.97269,0.20199728160738972,62500,347.35121300000003,343.686754,727.4065616156972
1,test,125000,4,661.0,276,808,0.00125,250000,464405,1.96086,0,62500,451.426442,104.04830700000002,1201.3650544068917
2,train,250000,1694,1046.4344746162924,108,4640,0.5012509975,500000,744945,3.99764,0.083695433210938808,125000,840.1526739999999,388.72502599999996,643.1281324295288
2,test,125000,3,1068.0,852,1492,0.00125,500000,870030,3.95898,0,125000,942.026859,101.84722099999999,1227.3285296611089
3,train,250000,1461,989.0458590006849,80,3152,0.2518759974999999,750000,1000000,6.12501,0.11209946326212042,187500,1371.759888,429.7318379999999,581.7581521618606
3,test,125000,15,1062.1333333333334,504,1564,0.00125,750000,1000000,6.10878,0,187500,1472.8358460000002,101.0495420000002,1237.0169871724877
4,train,250000,1136,1297.6197183098598,128,5424,0.0025009974999999907,1000000,1000000,11.1604,0.11534653435376362,250000,1947.794005,474.9569569999999,526.3634868706641
4,test,125000,41,1668.6829268292688,408,3068,0.00125,1000000,1000000,11.1647,0,250000,2050.031929,102.21117900000013,1222.9582049924288
5,train,250000,775,2445.4348387096775,228,11356,0.0025,1250000,1000000,15.6931,0.12549820612465173,312500,2551.093461,501.0603149999997,498.94192877757666
5,test,125000,104,2293.5769230769233,600,5172,0.00125,1250000,1000000,15.442,0,312500,2655.719368,104.5994569999998,1195.0348843589143
6,train,250000,833,2804.110444177672,20,11160,0.0025,1500000,1000000,21.6411,0.14635966019891811,375000,3163.156933,507.4363430000003,492.67263460473083
6,test,125000,9,3257.7777777777774,2116,4724,0.00125,1500000,1000000,21.7651,0,375000,3268.832733,105.64941399999998,1183.1584792320762
7,train,250000,753,3379.7450199203163,336,15516,0.0025,1750000,1000000,25.6399,0.15337717002052123,437500,3776.770059,507.93611899999996,492.1878768774859
7,test,125000,22,3303.8181818181815,1308,6832,0.00125,1750000,1000000,25.73,0,437500,3882.601907,105.80541700000003,1181.413991308214
8,train,250000,779,3461.2015404364565,624,13412,0.0025,2000000,1000000,29.8869,0.16272887649980969,500000,4392.1533819999995,509.5502529999999,490.62874275523137
8,test,125000,208,3622.9615384615377,880,11596,0.00125,2000000,1000000,29.8063,0,500000,4498.041853,105.86195099999986,1180.7830747423138
9,train,250000,622,4141.311897106112,28,15472,0.0025,2250000,1000000,35.5016,0.19690183671091763,562500,5002.122783999999,504.0796959999998,495.95332242860286
9,test,125000,43,6684.93023255814,1600,15472,0.00125,2250000,1000000,35.5879,0,562500,5104.4459,102.29615300000023,1221.942334429719
10,train,250000,643,4359.863141524106,208,16332,0.0025,2500000,1000000,42.7217,0.21619580932263105,625000,5605.338495,500.89141500000005,499.1101714130995
10,test,125000,124,5870.903225806455,848,15836,0.00125,2500000,1000000,42.7608,0,625000,5708.209943,102.84484500000053,1215.4230968017828
11,train,250000,635,4720.472440944881,484,14364,0.0025,2750000,1000000,43.9988,0.21440552338337851,687500,6206.860817,498.6497790000003,501.3538770664929
11,test,125000,139,4270.503597122303,904,15380,0.00125,2750000,1000000,43.8702,0,687500,6309.602285999999,102.71520999999939,1216.957060205599
12,train,250000,573,4752.076788830717,64,15060,0.0025,3000000,1000000,47.4847,0.22578041217241723,750000,6808.230826999999,498.62739599999986,501.37638245612976
12,test,125000,60,3373.4666666666667,500,8636,0.00125,3000000,1000000,47.4681,0,750000,6917.112356,108.85506700000042,1148.3158611256886
13,train,250000,564,5317.092198581562,360,19352,0.0025,3250000,1000000,52.7806,0.23023338425483333,812500,7454.154852,537.04133,465.5135201605433
13,test,125000,73,4077.3698630136987,852,8916,0.00125,3250000,1000000,52.7695,0,812500,7564.010969,109.82845200000065,1138.1385945419613
14,train,250000,439,4592.765375854215,124,14576,0.0025,3500000,1000000,54.4604,0.21148289985213381,875000,8097.464494999999,533.452362,468.6454083035816
14,test,125000,53,5795.471698113208,636,13304,0.00125,3500000,1000000,54.8188,0,875000,8206.716583,109.22437499999978,1144.4331908514034
15,train,250000,442,6590.995475113117,12,21208,0.0025,3750000,1000000,55.2829,0.19910218578370484,937500,8742.308148,535.5904100000007,466.77460113596817
15,test,125000,100,7001.4000000000015,1896,14692,0.00125,3750000,1000000,54.5085,0,937500,8852.951502,110.61556100000053,1130.0399226832055
16,train,250000,524,6225.137404580145,620,16644,0.0025,4000000,1000000,54.3569,0.19494485997746766,1000000,9389.405082,536.4523909999989,466.024579616424
16,test,125000,124,8152.161290322583,1672,22992,0.00125,4000000,1000000,54.751,0,1000000,9499.460122,110.02723200000037,1136.0823836775207
17,train,250000,456,5056.815789473678,636,14960,0.0025,4250000,1000000,55.4544,0.22154070837890377,1062500,10027.306516999999,527.8452649999999,473.6236480211678
17,test,125000,238,5832.890756302523,1600,16504,0.00125,4250000,1000000,55.45,0,1062500,10130.022300999999,102.68845399999918,1217.274144569369
18,train,250000,579,4886.051813471499,736,16892,0.0025,4500000,1000000,61.0384,0.2455753417797106,1125000,10626.886638,496.86324199999945,503.156560734272
18,test,125000,40,4778.499999999999,1724,11932,0.00125,4500000,1000000,60.5778,0,1125000,10728.607195999999,101.69340299999931,1229.1849452614035
19,train,250000,435,5480.928735632181,1168,15840,0.0025,4750000,1000000,60.0148,0.22842113092666569,1187500,11224.808573,496.2002470000007,503.82885037136964
19,test,125000,32,4183.875000000001,1256,7172,0.00125,4750000,1000000,60.4921,0,1187500,11327.040019,102.20480700000007,1223.0344508159965
20,train,250000,355,6349.577464788728,516,27108,0.0025,5000000,1000000,61.8981,0.21783851352724029,1250000,11822.679789,495.6386390000007,504.3997386975305
20,test,125000,66,4636.242424242423,1380,11736,0.00125,5000000,1000000,62.2274,0,1250000,11924.883834999999,102.17731099999946,1223.3635704114454
21,train,250000,322,6158.72049689441,584,16612,0.0025,5250000,1000000,60.912,0.16420084664021725,1312500,12422.5749,497.6899450000001,502.32077724616266
21,test,125000,115,8052.452173913045,1480,26896,0.00125,5250000,1000000,60.6876,0,1312500,12526.027979,103.42659400000048,1208.586642619203
22,train,250000,269,7731.405204460967,1380,25980,0.0025,5500000,1000000,60.7179,0.15480336849649254,1375000,13024.851394,498.82226900000023,501.1805116503327
22,test,125000,73,7937.863013698631,840,16152,0.00125,5500000,1000000,59.3107,0,1375000,13128.018528999999,103.14028299999882,1211.9416038445563
23,train,250000,318,7046.251572327045,848,26000,0.0025,5750000,1000000,62.983,0.14853856203766483,1437500,13626.991028999999,498.9713679999986,501.03075253007444
23,test,125000,100,9429.2,840,23288,0.00125,5750000,1000000,64.1236,0,1437500,13730.278992,103.26164199999948,1210.517260610679
24,train,250000,392,7476.755102040818,1076,25704,0.0025,6000000,1000000,67.0284,0.15764970183890722,1500000,14229.883235,499.60309099999904,500.3972243238193
24,test,125000,62,9877.225806451612,2768,26844,0.00125,6000000,1000000,65.7285,0,1500000,14333.280504999999,103.36973799999942,1209.2513961871578
25,train,250000,490,6860.440816326535,796,23220,0.0025,6250000,1000000,70.8174,0.18211413244938154,1562500,14833.418566999999,500.1369109999996,499.86312647898166
25,test,125000,49,5635.8367346938785,1324,17856,0.00125,6250000,1000000,70.3455,0,1562500,14936.495256,103.05027700000028,1213.000135846308
26,train,250000,381,7360.293963254597,1184,21412,0.0025,6500000,1000000,72.7213,0.18689039062184082,1625000,15435.872843,499.3764479999991,500.624330605196
26,test,125000,63,9647.873015873016,1444,17092,0.00125,6500000,1000000,72.7661,0,1625000,15538.760261,102.86083700000017,1215.234132306349
27,train,250000,418,7050.545454545451,952,22140,0.0025,6750000,1000000,69.637,0.18871928275154209,1687500,16037.887144999999,499.1257549999991,500.8757762860793
27,test,125000,189,4601.67195767196,964,12940,0.00125,6750000,1000000,68.9771,0,1687500,16140.967434,103.05339000000095,1212.9634939714147
28,train,250000,366,7785.158469945354,852,23624,0.0025,7000000,1000000,72.461,0.19687460480031363,1750000,16640.58737,499.61880400000155,500.3814868425153
28,test,125000,77,8540.415584415587,1680,18168,0.00125,7000000,1000000,73.2443,0,1750000,16743.694474,103.08048699999927,1212.644639523297
29,train,250000,283,7302.261484098941,1048,23284,0.0025,7250000,1000000,70.222,0.182900341157156,1812500,17242.153304,498.45769199999995,501.5470801481784
29,test,125000,21,4379.428571428571,1620,7212,0.00125,7250000,1000000,70.5056,0,1812500,17345.217894999998,103.03804599999785,1213.144123482336
30,train,250000,350,6393.725714285715,1008,17452,0.0025,7500000,1000000,67.8361,0.1684351914041044,1875000,17844.297463,499.0784129999993,500.923288781878
30,test,125000,60,7053.466666666666,1228,16080,0.00125,7500000,1000000,68.9275,0,1875000,17947.257591,102.93355800000063,1214.3755877942083
31,train,250000,240,7087.066666666667,744,17772,0.0025,7750000,1000000,68.3513,0.13122311281684684,1937500,18445.191645,497.93290499999785,502.07567623995664
31,test,125000,51,6643.2156862745105,1368,16912,0.00125,7750000,1000000,68.4518,0,1937500,18547.873755,102.65528700000141,1217.6674348979054
32,train,250000,310,6407.032258064518,792,18096,0.0025,8000000,1000000,66.2771,0.11405694051273227,2000000,19046.358988,498.4840430000004,501.5205672290694
32,test,125000,70,5405.314285714285,1624,13976,0.00125,8000000,1000000,65.6717,0,2000000,19149.555387,103.16994500000146,1211.593163105769
33,train,250000,360,6603.788888888887,696,20476,0.0025,8250000,1000000,69.0772,0.11897040086224239,2062500,19648.141692,498.58515500000067,501.4188599337653
33,test,125000,92,7090.173913043478,1444,15364,0.00125,8250000,1000000,69.1721,0,2062500,19751.313772999998,103.14530899999954,1211.882549113315
34,train,250000,358,5966.68156424581,64,16304,0.0025,8500000,1000000,72.4948,0.13279733309484834,2125000,20250.222096999998,498.9071879999974,501.0952057078827
34,test,125000,112,6721.214285714287,2188,16000,0.00125,8500000,1000000,72.6934,0,2125000,20353.802792,103.55400699999882,1207.0995958659662
