epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,356,1128.404494382023,192,3080,1,0,53548,2.66977e-05,0,0,5.378832,5.378768000000001,9295.809003102568
1,train,250000,1788,1159.6085011185712,88,4660,0.7506259975,250000,321403,48.7886,149.78758868720973,62500,361.27945300000005,355.865381,702.5128415062098
1,test,125000,43,1800.7441860465117,596,4928,0.00125,250000,446843,49.0057,0,62500,466.987797,105.66654199999999,1182.9666953613378
2,train,250000,1633,1405.9399877526005,216,5164,0.5012509975,500000,713148,97.321,65.032228948848726,125000,872.00477,405.01587000000006,617.2597631791563
2,test,125000,55,2251.4909090909086,848,5532,0.00125,500000,838710,97.9481,0,125000,982.333627,110.29560800000002,1133.3180193358196
3,train,250000,1296,2009.2438271604926,56,7120,0.2518759974999999,750000,1000000,178.314,59.576275748962317,187500,1437.396671,455.061873,549.3758427878663
3,test,125000,46,3299.913043478261,588,6576,0.00125,750000,1000000,177.094,0,187500,1547.337381,109.90789300000006,1137.3159523674967
4,train,250000,963,2921.5451713395655,544,11416,0.0025009974999999907,1000000,1000000,267.921,73.404880926492069,250000,2047.5668019999998,500.22825999999986,499.7718441577053
4,test,125000,82,3591.170731707318,460,11364,0.00125,1000000,1000000,265.545,0,250000,2157.961579,110.36118999999962,1132.6445465113272
5,train,250000,736,3783.108695652178,556,11172,0.0025,1250000,1000000,351.739,76.9612341132962,312500,2680.834761,522.871963,478.1285241717961
5,test,125000,87,4269.379310344828,1500,11444,0.00125,1250000,1000000,349.715,0,312500,2786.408294,105.54067200000009,1184.3775260403866
6,train,250000,674,4441.412462908003,480,15872,0.0025,1500000,1000000,428.44,78.332365921874668,375000,3293.232033,506.82260399999996,493.2692386387724
6,test,125000,93,4337.720430107524,1232,8068,0.00125,1500000,1000000,424.388,0,375000,3397.466907,104.20195199999989,1199.5936506064697
7,train,250000,381,5053.091863517062,1012,14384,0.0025,1750000,1000000,481.367,85.44142410181162,437500,3902.650872,505.1828740000001,494.87029918595374
7,test,125000,80,6174.4,1504,16828,0.00125,1750000,1000000,489.465,0,437500,4007.735617,105.05201199999965,1189.8867772280307
8,train,250000,527,5106.079696394688,16,16052,0.0025,2000000,1000000,530.743,77.761237734373793,500000,4513.144621,505.4079040000006,494.6499609946735
8,test,125000,89,5106.022471910112,1280,12136,0.00125,2000000,1000000,522.435,0,500000,4617.95239,104.77487500000007,1193.0341124243757
9,train,250000,534,4811.677902621729,864,14344,0.0025,2250000,1000000,557.687,73.39667287815756,562500,5123.830849,505.87734699999965,494.19093676080377
9,test,125000,143,5693.202797202797,1248,16924,0.00125,2250000,1000000,557.071,0,562500,5228.736169,104.87251699999979,1191.9233329738834
10,train,250000,558,5739.118279569896,812,15948,0.0025,2500000,1000000,603.746,79.676886956479706,625000,5734.378114,505.64084,494.4220882158173
10,test,125000,74,5839.783783783784,1352,13956,0.00125,2500000,1000000,602.397,0,625000,5838.541418,104.13091199999963,1200.4120351889403
11,train,250000,492,6264.300813008131,752,22580,0.0025,2750000,1000000,687.056,84.435948088334783,687500,6343.847641,505.3050950000006,494.7506021090084
11,test,125000,81,5712.790123456791,1132,13996,0.00125,2750000,1000000,691.493,0,687500,6448.35059,104.47046500000033,1196.510420433178
12,train,250000,353,6415.444759206798,4,16108,0.0025,3000000,1000000,774.983,87.695197899224297,750000,6953.424309,505.07264399999985,494.9783025667097
